scenario,time_s,com_mps,max_linear_mps,max_angular_radps,pelvis_y,head_y,settled
D_bodycheck_earth_comic,2.100,0.0019,0.0349,0.4518,0.1184,0.2561,0
D_bodycheck_earth_comic,2.200,0.0133,0.0403,0.4635,0.1179,0.2550,0
D_bodycheck_earth_comic,2.300,0.0166,0.0409,0.6465,0.1174,0.2536,0
D_bodycheck_earth_comic,2.400,0.0055,0.0250,0.2767,0.1174,0.2529,0
D_bodycheck_earth_comic,2.500,0.0095,0.0258,0.2267,0.1178,0.2536,0
D_bodycheck_earth_comic,2.600,0.0106,0.0278,0.3916,0.1181,0.2548,0
D_bodycheck_earth_comic,2.700,0.0015,0.0248,0.3028,0.1181,0.2552,0
D_bodycheck_earth_comic,2.800,0.0090,0.0203,0.2489,0.1179,0.2546,0
D_bodycheck_earth_comic,2.900,0.0084,0.0184,0.1994,0.1177,0.2538,0
D_bodycheck_earth_comic,3.000,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,3.100,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,3.200,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,3.300,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,3.400,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,3.500,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,3.600,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,3.700,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,3.800,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,3.900,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,4.000,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,4.100,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,4.200,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,4.300,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,4.400,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,4.500,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,4.600,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,4.700,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,4.800,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,4.900,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,5.000,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,5.100,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,5.200,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,5.300,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,5.400,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,5.500,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,5.600,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,5.700,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,5.800,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,5.900,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,6.000,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,6.100,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,6.200,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,6.300,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,6.400,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,6.500,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,6.600,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,6.700,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,6.800,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,6.900,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,7.000,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,7.100,0.0000,0.0000,0.0000,0.1176,0.2538,1
D_bodycheck_earth_comic,7.200,0.0000,0.0000,0.0000,0.1176,0.2538,1
